year,precipitation(mm),snow_depth(cm),mean_temperature(°C),min_temperature(°C),max_temperature(°C)
1991,619.1,12.756164383561643,4.990958904109589,1.3438356164383563,8.79890410958904
1992,576.9,5.912568306010929,5.288251366120218,1.596448087431694,9.031147540983607
1993,557.7,2.317808219178082,4.379452054794521,0.5961643835616438,8.332876712328767
1994,551.2,6.33972602739726,4.3032876712328765,0.15561643835616434,8.626027397260273
1995,698.1,3.4027397260273973,5.036164383561644,1.1347945205479453,8.928219178082193
1996,594.4,9.385245901639344,3.7631147540983605,-0.3756830601092896,8.129781420765028
1997,673.8,5.2904109589041095,4.9791780821917815,0.6002739726027397,9.158630136986302
1998,626.8000000000001,3.052054794520548,4.290684931506849,0.42575342465753424,8.252328767123288
1999,586.2,8.663013698630136,5.139178082191781,0.7320547945205479,9.504383561643836
2000,652.0,4.363387978142076,6.045901639344263,2.137978142076503,10.173224043715848
2001,652.5,2.873972602739726,4.7753424657534245,0.8331506849315069,8.844657534246576
2002,440.3,4.2164383561643834,4.874794520547945,0.1898630136986301,9.469041095890411
2003,584.5,5.66027397260274,4.618082191780822,0.30684931506849317,8.985479452054793
2004,726.4,6.598360655737705,4.895628415300546,0.7989071038251365,9.033333333333333
2005,649.9,5.3780821917808215,5.290958904109589,1.141917808219178,9.5
2006,586.9,7.134246575342465,5.681369863013698,1.3320547945205479,9.953972602739725
2007,642.5,1.7780821917808218,5.740273972602739,1.704931506849315,9.942465753424658
2008,760.5,1.330601092896175,6.218032786885247,2.5079234972677593,9.964207650273224
2009,496.2,4.567123287671233,4.814246575342466,0.627945205479452,8.99123287671233
2010,573.6,11.073972602739726,3.605524861878453,-0.5857534246575342,7.739726027397261
2011,758.1,12.767123287671232,5.971506849315068,1.8120547945205479,10.035068493150685
2012,782.9,6.7349726775956285,4.4571038251366115,0.6233516483516482,8.087912087912088
2013,561.9,9.975342465753425,5.591506849315069,1.2561643835616438,9.887397260273973
2014,582.8,1.1284916201117319,6.0306849315068485,2.1945205479452055,10.001917808219178
2015,680.0,3.2527472527472527,6.336712328767123,2.5106849315068493,10.25013698630137
2016,535.8,2.5136612021857925,5.306830601092896,1.4281420765027324,9.178142076502732
2017,656.9,1.7739130434782608,5.28,1.6389041095890413,8.949041095890411
2018,434.4,4.033057851239669,5.913698630136986,1.3879120879120879,10.118681318681318
2019,661.6,7.016438356164383,5.951506849315069,1.6605479452054794,10.092054794520548
2020,726.7,0.13259668508287292,7.287978142076503,3.322131147540984,11.064207650273223
2021,635.8,3.893150684931507,5.311506849315069,1.2235616438356163,9.35068493150685
2022,511.0,9.61111111111111,5.794520547945205,1.4515068493150685,10.015616438356163
2023,0.0,4.0,-1.1,-3.3,5.3
